,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
665,20063,12,15,16,22,29,32,14
666,20062,10,14,17,22,26,27,05
667,20061,08,17,24,26,27,31,04
668,20060,05,09,14,20,24,30,08
669,20059,02,04,10,17,22,25,14
670,20058,01,03,11,12,19,26,07
671,20057,09,14,21,23,26,32,03
672,20056,02,05,08,12,26,31,14
673,20055,01,05,07,23,28,30,12
674,20054,03,10,19,25,26,31,02
675,20053,02,14,15,16,32,33,01
676,20052,02,08,13,29,32,33,15
677,20051,03,06,08,11,19,28,08
678,20050,04,09,17,20,32,33,15
679,20049,01,07,09,12,18,22,04
680,20048,12,14,18,23,30,32,02
681,20047,04,10,17,19,28,32,01
682,20046,13,19,25,26,27,32,08
683,20045,02,03,15,21,22,33,16
684,20044,07,08,16,17,19,24,07
685,20043,01,11,24,25,27,30,07
686,20042,02,06,07,11,14,31,03
687,20041,06,07,16,22,24,25,13
688,20040,01,06,12,16,19,21,04
689,20039,02,09,10,11,16,29,02
690,20038,01,06,07,18,23,24,15
691,20037,01,04,11,13,17,24,15
692,20036,07,09,16,22,24,32,06
693,20035,10,14,24,25,28,33,11
694,20034,02,08,15,16,26,32,03
695,20033,07,10,12,21,31,32,01
696,20032,03,11,13,14,15,26,13
697,20031,02,05,09,15,16,27,09
698,20030,17,18,21,29,30,32,03
699,20029,01,12,18,20,30,32,05
700,20028,05,06,15,18,26,32,08
701,20027,12,13,14,24,25,28,06
702,20026,01,04,09,18,19,31,06
703,20025,01,09,10,15,20,29,02
704,20024,10,13,27,28,29,31,08
705,20023,04,05,20,21,30,33,08
706,20022,02,10,20,22,25,30,02
707,20021,02,06,14,16,27,31,07
708,20020,01,06,09,13,15,22,14
709,20019,15,19,27,28,30,33,03
710,20018,05,07,08,11,17,22,13
711,20017,02,04,07,15,20,27,04
712,20016,05,06,08,17,24,27,07
713,20015,08,09,22,24,30,33,01
714,20014,02,07,08,10,12,16,07
715,20013,02,08,10,20,21,30,14
716,20012,04,13,14,23,26,31,09
717,20011,04,05,07,17,18,29,01
718,20010,11,14,22,27,31,32,09
719,20009,03,06,08,14,19,26,12
720,20008,01,04,06,10,11,28,16
721,20007,05,12,17,20,25,31,10
722,20006,03,04,05,10,16,32,09
723,20005,11,16,17,22,26,32,04
724,20004,02,15,17,27,32,33,03
725,20003,09,17,26,29,30,32,03
